network,park,mean.lat,lat.rank
NETN,ACAD,4905413.575,39
NETN,MABI,4834167.833,38
NETN,MIMA,4702596.2,35
NETN,MORR,4512722.036,30
NETN,ROVA,4625633.25,34
NETN,SAGA,4819751.905,37
NETN,SARA,4761406.726,36
NETN,WEFA,4568704.1,33
NCRN,ANTI,4371964.286,21
NCRN,CATO,4391852.041,22
NCRN,CHOH,4357435.811,19
NCRN,GWMP,4308537.5,15
NCRN,HAFE,4355912.5,18
NCRN,MANA,4299750,13
NCRN,MONO,4359208.333,20
NCRN,NACE,4303050,14
NCRN,PRWI,4273722.414,12
NCRN,ROCR,4313605.263,17
NCRN,WOTR,4312000,16
MIDN,APCO,4139189.036,4
MIDN,BOWA,4108059.875,1
MIDN,COLO,4119773.915,3
MIDN,FRSP,4239045.827,10
MIDN,GETT,4408652.837,25
MIDN,GEWA,4228858.045,8
MIDN,HOFU,4451005.063,27
MIDN,PETE,4118521.065,2
MIDN,RICH,4151175.75,5
MIDN,SAHI,4527186.75,31
MIDN,THST,4266416.409,11
MIDN,VAFO,4438873.393,26
ERMN,ALPO,4478477.75,29
ERMN,BLUE,4157935.613,6
ERMN,DEWA,4553467.532,32
ERMN,FONE,4407897.709,24
ERMN,FRHI,4403241.709,23
ERMN,GARI,4229177.224,9
ERMN,JOFL,4468338.364,28
ERMN,NERI,4193160.356,7
